"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","505","should return 404 for GET /data/financeinfo","Very first API smoke test, a very basic suite /company/tradinginfo - intentional falure","2026-04-19","failed","2026-04-19","","","",""
"","2","Sample checks on the target code: /company/tradinginfo/HBC - Verify values constraints","Very API with more detailed - /company/tradinginfo","2026-04-19","passed","2026-04-19","","","",""
"","1640","should return 200 for POST /data/financeinfo","Very first API smoke test, a very basic suite /company/tradinginfo - intentional falure","2026-04-19","failed","2026-04-19","","","",""
"","0","Show off the token","Very API with more detailed - /company/tradinginfo","2026-04-19","passed","2026-04-19","","","",""
"","0","Fetch trading info with jar + tough-cookie","Very API with more detailed - /company/tradinginfo","2026-04-19","passed","2026-04-19","","","",""
"","1282","should return 404 for GET /data/financeinfo","Very first API smoke test, a very basic suite /data/financeinfo","2026-04-19","passed","2026-04-19","","","",""
"","2463","should return 200 for POST /data/financeinfo","Very first API smoke test, a very basic suite /data/financeinfo","2026-04-19","passed","2026-04-19","","","",""
"","0","Show off the token","Check another api /data/financeinfo","2026-04-19","passed","2026-04-19","","","",""
"","1","Fetch trading info with jar + tough-cookie","Check another api /data/financeinfo","2026-04-19","passed","2026-04-19","","","",""
"","1","Sample checks on the target code: /data/financeinfo/HBC - Verify values constraints","Check another api /data/financeinfo","2026-04-19","passed","2026-04-19","","","",""
